151	42	1
153	48	1
155	43	1
158	49	1
158	58	1
158	46	1
160	50	1
160	48	1
160	54	1
160	46	1
160	53	1
160	45	1
161	48	1
161	51	1
161	48	1
162	55	1
162	54	1
164	60	1
164	46	1
164	50	1
167	57	1
168	56	1
170	50	1
172	58	1
172	60	1
173	56	1
168	60	1
166	58	1
172	64	1
163	45	1
163	46	1
173	56	1
155	45	1
159	53	1
165	56	1
167	57	1
150	47	1
167	52	1
158	46	1
158	45	1
160	56	0
160	45	0
162	54	0
164	60	0
165	55	0
165	60	0
165	53	0
166	65	0
167	74	0
168	70	0
169	55	0
169	67	0
170	80	0
170	68.5	0
170	60	0
170	60	0
170	60	0
170	55	0
170	65	0
170	75	0
170	65.5	0
170	57.5	0
170	60	0
170	58	0
170	55	0
170	56	0
171	65	0
171	60	0
172	67	0
172	65	0
172	60	0
172	55	0
173	82	0
173	60	0
173	64	0
173	78	0
173	59	0
173	60	0
173	75	0
173	57	0
174	68	0
174	60	0
174	61	0
174	65	0
174	60	0
174	71	0
175	66	0
175	64	0
175	65	0
175	80	0
175	74	0
175	55	0
176	74	0
176	69	0
176	64	0
176	68	0
177	65	0
177	64	0
178	78	0
178	69	0
178	56	0
178	70	0
178	70	0
178	63	0
179	60	0
179	79	0
180	75	0
180	77	0
180	60	0
180	59	0
180	69	0
180	58	0
181	65	0
181	65	0
181	56	0
182	70	0
182	71	0
183	63.5	0
183	105	0
183	69	0
184	75	0
184	68	0
185	85	0
185	65	0
