163	48	1
169	50	1
170	50	1
167	50	1
167	55	1
170	52	1
166	48	1
160	46	1
168	56	1
156	40	1
160	52	1
157	52	1
163	51	1
181	78	1
176	60	1
161	53	1
174	68	0
168	60	0
180	80	0
172	57	0
173	56	0
165	57	0
175	53	0
171	60	0
165	56	0
178	72	0
171	76	0
175	77	0
175	58	0
180	75	0
188	75	0
180	67	0
176	55	0
176	55	0
166	53	0
170	57	0
176	56	0
174	71	0
186	72	0
178	85	0
170	63	0
172	65	0
172	70	0
170	65.5	0
165	57	0
178	62	0
180	70	0
170	60	0
177	60	0
177	85	0
172	60	0
175	80	0
176	65	0
177	62	0
183	75	0
172	65	0
178	62	0
170	62	0
164	50	0
168	71	0
170	61	0
163	60.5	0
173	81	0
180	65	0
179	75	0
183	74	0
178	60	0
175	70	0
173	56	0
177	62.5	0
175	65	0
182	68	0
177	67	0
173	70	0
170	60	0
166	55	0
178	72	0
170	75	0
180	65	0
180	63	0
183	65	0
184	95	0
180	75	0
180	70	0
171	56	0
163	50	0
175	62	0
183	62	0
172	57	0
174	68	0
